id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
313,身,身,sh,en,1,身體,,,ʂ,əŋ
314,身,身,j,yen,1,身毒，印度古譯名,,,tɕ,yəŋ
315,車,车,ch,a,1,汽車,,,tʂʰ,a
316,車,车,j,y,1,車馬炮,,,tɕ,y
317,例,例,l,i,6,例外,,,l,i
318,真,真,zh,en,1,真實,,,tʂ,əŋ
319,務,务,v,v,6,任務,,,ʋ,ʋ
320,具,具,q,y,6,具體,,,tɕʰ,y
321,萬,万,v,aen,6,萬千,,,ʋ,ɛ̃
322,每,每,m,ei,3,每當,,,m,əi
323,目,目,m,oh,8,目的,,,m,ɔʔ
324,至,至,zh,r,5,至於,,,tʂ,ʅ
325,達,达,t,aeh,8,到達,,,tʰ,ɛʔ
326,達,达,t,aeh,7,挑達,,,tʰ,ɛʔ
327,走,走,z,eu,3,行走,,,ts,əɯ
328,積,积,j,ieh,7,面積,,,tɕ,iəʔ
329,積,积,z,z,5,草積,,,ts,ɿ
330,示,示,sh,r,6,表示,,,ʂ,ʅ
331,示,示,ch,r,6,示衆,白讀,,tʂʰ,ʅ
332,議,议,,i,6,議論,,,,i
333,聲,声,sh,en,1,聲音,,,ʂ,əŋ
334,報,报,b,o,5,報道,,,p,ɔ
335,鬥,斗,d,eu,5,爭鬥,,,t,əɯ
336,完,完,,un,2,完成,,,,ʊ̃
337,類,类,l,uei,6,分類,,,l,uəi
338,類,类,l,y,6,,白讀,,l,y
339,八,八,b,aeh,7,八路,,,p,ɛʔ
340,離,离,l,i,2,離別，分離,,,l,i
341,離,离,l,i,6,距離，離群索居,,,l,i
342,華,华,h,ua,2,中華,,,x,ua
343,華,华,h,ua,6,華山,,,x,ua
344,名,名,m,ien,2,姓名,,,m,iəŋ
345,確,确,q,iah,7,的確,文讀,,tɕʰ,iaʔ
346,確,确,k,ah,7,,白讀,,kʰ,aʔ
347,科,科,k,u,1,科學,,,kʰ,ʊ
348,傳,传,ch,un,2,傳說,,,tʂʰ,ʊ̃
349,傳,传,ch,un,6,傳記,,,tʂʰ,ʊ̃
350,傳,传,zh,un,5,傳譯,,,tʂ,ʊ̃
351,張,张,zh,an,1,開張,,,tʂ,aŋ
352,才,才,c,ae,2,才能,,,tsʰ,ɛ
353,信,信,x,ien,5,信用,,,ɕ,iəŋ
354,馬,马,m,a,3,馬上,,,m,a
355,節,节,j,ih,7,節約,,,tɕ,iʔ
356,話,话,h,ua,6,話題,,,x,ua
357,米,米,m,i,3,大米,,,m,i
358,採,采,c,ae,3,採摘,,,tsʰ,ɛ
359,整,整,zh,en,3,整齊,,,tʂ,əŋ
360,空,空,k,on,1,時空,,,kʰ,ɔŋ
361,空,空,k,on,5,空閒,,,kʰ,ɔŋ
362,元,元,,iun,2,元日,,,,iʊ̃
363,況,况,k,uan,5,情況,,,kʰ,uaŋ
