id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
7326,瀧,泷,l,on,2,下雨的樣子,,,l,ɔŋ
7327,瀧,泷,sh,uan,1,河流名,,,ʂ,uaŋ
7328,瀼,瀼,r,an,2,露濃的樣子,,,ɻ,aŋ
7329,瀼,瀼,r,an,6,河流名,,,ɻ,aŋ
7330,瀵,瀵,f,en,5,,,,f,əŋ
7331,焌,焌,j,yen,5,,,,tɕ,yəŋ
7332,焌,焌,z,uen,5,,又音,,ts,uəŋ
7333,熜,熜,z,on,3,火炬,,,ts,ɔŋ
7334,熜,熜,c,on,1,微火,,,tsʰ,ɔŋ
7335,燊,燊,sh,en,1,,,,ʂ,əŋ
7336,燠,燠,ng,o,5,熱,,,ŋ,ɔ
7337,燠,燠,,ioh,7,暖和,,,,iɔʔ
7338,爇,爇,r,uh,8,,,,ɻ,ʊʔ
7339,爻,爻,x,io,2,,,,ɕ,iɔ
7340,牁,牁,g,u,1,,,,k,ʊ
7341,牂,牂,z,an,1,,,,ts,aŋ
7342,狃,狃,n,ieu,3,,,,n,iəɯ
7343,狨,狨,r,on,2,,,,ɻ,ɔŋ
7344,狺,狺,,ien,2,,,,,iəŋ
7345,獮,狝,x,in,3,,,,ɕ,ĩ
7346,獼,猕,m,i,2,,,,m,i
7347,玕,玕,g,un,1,,,,k,ʊ̃
7348,珈,珈,g,a,1,,,,k,a
7349,珪,珪,g,uei,1,,,,k,uəi
7350,琇,琇,x,ieu,5,,,,ɕ,iəɯ
7351,琀,琀,h,un,6,,,,x,ʊ̃
7352,瑗,瑗,,iun,6,,,,,iʊ̃
7353,瓠,瓠,h,v,6,,,,x,ʋ
7354,瓻,瓻,ch,r,1,,,,tʂʰ,ʅ
7355,瘈,瘈,j,i,5,瘋狂的,,,tɕ,i
7356,瘈,瘈,q,i,5,瘈瘲,,,tɕʰ,i
7357,瘭,瘭,b,io,1,,,,p,iɔ
7358,皞,皞,h,o,6,,,,x,ɔ
7359,眇,眇,m,io,3,,,,m,iɔ
7360,眥,眦,c,z,6,,,,tsʰ,ɿ
7361,睇,睇,t,i,6,,,,tʰ,i
7362,睇,睇,t,i,1,,又音,,tʰ,i
7363,矞,矞,,yeh,8,,,,,yəʔ
7364,矧,矧,sh,en,3,,,,ʂ,əŋ
7365,砦,砦,ch,ae,6,,,,tʂʰ,ɛ
7366,碭,砀,t,an,6,,,,tʰ,aŋ
7367,礞,礞,m,on,2,,,,m,ɔŋ
7368,祧,祧,t,io,1,,,,tʰ,iɔ
7369,禊,禊,x,i,6,,,,ɕ,i
7370,禛,禛,zh,en,1,,,,tʂ,əŋ
7371,穰,穰,r,an,2,稻麥的莖。,,,ɻ,aŋ
7372,穰,穰,r,an,3,繁盛,,,ɻ,aŋ
7373,笄,笄,j,i,1,,,,tɕ,i
7374,筦,筦,g,un,3,,,,k,ʊ̃
7375,筴,筴,g,aeh,7,,,,k,ɛʔ
7376,篌,篌,h,eu,2,,,,x,əɯ
7377,籙,箓,l,oh,8,,,,l,ɔʔ
7378,籹,籹,n,y,3,,,,n,y
7379,粧,妆,zh,uan,1,,,,tʂ,uaŋ
7380,糒,糒,p,i,6,,,,pʰ,i
7381,絎,绗,h,en,6,,,,x,əŋ
7382,縠,縠,h,oh,8,,,,x,ɔʔ
7383,縲,缧,l,uei,2,,,,l,uəi
7384,縩,縩,c,ae,5,,,,tsʰ,ɛ
7385,繒,缯,z,en,1,絲織品的總稱,,,ts,əŋ
7386,繻,繻,x,y,1,,,,ɕ,y
7387,繻,繻,r,v,2,,又音,,ɻ,ʋ
7388,纑,纑,l,v,2,,,,l,ʋ
7389,纚,纚,sh,r,3,,,,ʂ,ʅ
7390,缶,缶,f,eu,3,,,,f,əɯ
7391,罳,罳,s,z,1,,,,s,ɿ
7392,罽,罽,j,i,5,,,,tɕ,i
7393,胠,胠,q,y,1,,,,tɕʰ,y
7394,胗,胗,zh,en,1,,,,tʂ,əŋ
7395,腯,腯,t,eh,8,,,,tʰ,əʔ
7396,舨,舨,b,aen,3,,,,p,ɛ̃
7397,茆,茆,m,o,3,,,,m,ɔ
7398,苾,苾,p,ieh,8,,,,pʰ,iəʔ
7399,苴,苴,ch,a,2,枯草,,,tʂʰ,a
7400,苴,苴,j,y,1,鞋裏墊的草，姓氏,,,tɕ,y
7401,苴,苴,j,ia,1,苴鎮，如東地名,,,tɕ,ia
7402,苴,苴,j,in,1,,jia1的新讀,,tɕ,ĩ
7403,茌,茌,ch,r,2,,,,tʂʰ,ʅ
7404,菅,菅,g,aen,1,,,,k,ɛ̃
7405,菔,菔,f,oh,8,,,,f,ɔʔ
7406,菏,菏,h,u,2,菏澤，地名,,,x,ʊ
7407,菥,菥,x,ieh,7,,,,ɕ,iəʔ
7408,菘,菘,s,on,1,,,,s,ɔŋ
7409,葎,葎,l,ieh,8,,,,l,iəʔ
7410,蓐,蓐,r,oh,8,,,,ɻ,ɔʔ
7411,蓰,蓰,x,i,3,,,,ɕ,i
7412,蕆,蒇,ch,in,3,,,,tʂʰ,ĩ
7413,蕤,蕤,r,uei,2,,,,ɻ,uəi
7414,蕁,荨,t,un,2,植物名，知母,,,tʰ,ʊ̃
7415,蕁,荨,q,in,2,蕁麻,,,tɕʰ,ĩ
7416,藂,藂,c,on,2,,,,tsʰ,ɔŋ
7417,蛩,蛩,q,ion,2,,,,tɕʰ,iɔŋ
7418,蝣,蝣,,ieu,2,,,,,iəɯ
7419,蝥,蝥,m,o,2,,,,m,ɔ
7420,螗,螗,t,an,2,,,,tʰ,aŋ
7421,蟊,蟊,m,eu,2,,,,m,əɯ
7422,螽,螽,zh,on,1,,,,tʂ,ɔŋ
7423,衩,衩,ch,a,5,,,,tʂʰ,a
7424,袺,袺,j,ih,7,,,,tɕ,iʔ
7425,裎,裎,ch,en,2,裸體,,,tʂʰ,əŋ
7426,裎,裎,ch,en,3,古代一種對襟單衣,,,tʂʰ,əŋ
7427,褌,裈,k,uen,1,,,,kʰ,uəŋ
7428,褳,裢,l,in,2,,,,l,ĩ
7429,襁,襁,q,ian,2,,,,tɕʰ,iaŋ
7430,襝,裣,l,in,3,,,,l,ĩ
7431,襝,裣,l,in,6,,又音,,l,ĩ
7432,觚,觚,g,v,1,,,,k,ʋ
7433,觭,觭,j,i,1,,,,tɕ,i
7434,觳,觳,h,oh,8,,,,x,ɔʔ
7435,觿,觿,x,i,1,,,,ɕ,i
7436,訇,訇,h,on,1,,,,x,ɔŋ
7437,訒,讱,r,en,6,,,,ɻ,əŋ
7438,詘,诎,q,yeh,7,,,,tɕʰ,yəʔ
7439,詵,诜,sh,en,1,,,,ʂ,əŋ
7440,諔,諔,ch,oh,7,,,,tʂʰ,ɔʔ
7441,諶,谌,ch,en,2,,,,tʂʰ,əŋ
7442,谿,溪,q,i,1,,,,tɕʰ,i
7443,賻,赙,f,v,6,,,,f,ʋ
7444,贔,赑,p,i,6,,,,pʰ,i
7445,趺,趺,f,v,1,,,,f,ʋ
7446,跗,跗,f,v,1,,,,f,ʋ
7447,跬,跬,k,uei,3,,,,kʰ,uəi
7448,踣,踣,p,oh,8,,,,pʰ,ɔʔ
7449,蹔,蹔,c,aen,6,,,,tsʰ,ɛ̃
7450,躓,踬,zh,r,5,,,,tʂ,ʅ
7451,輅,辂,l,v,6,,,,l,ʋ
7452,輶,輶,,ieu,2,,,,,iəɯ
7453,迓,迓,ng,a,6,,,,ŋ,a
7454,邐,逦,l,i,3,,,,l,i
7455,邘,邘,,y,2,,,,,y
7456,邡,邡,f,an,2,,,,f,aŋ
7457,郋,郋,x,i,2,,,,ɕ,i
7458,鄹,鄹,zh,eu,1,,,,tʂ,əɯ
7459,酢,酢,c,v,5,,,,tsʰ,ʋ
7460,醅,醅,p,ei,1,,,,pʰ,əi
7461,醑,醑,x,y,3,,,,ɕ,y
7462,醮,醮,j,io,5,,,,tɕ,iɔ
7463,醭,醭,p,oh,7,,,,pʰ,ɔʔ
7464,釕,钌,l,io,3,,,金屬元素,l,iɔ
7465,鈚,鈚,p,i,1,,,,pʰ,i
7466,鈿,钿,t,in,2,銅錢,,,tʰ,ĩ
7467,鈿,钿,t,in,6,古代婦女的首飾,,,tʰ,ĩ
7468,鈰,铈,sh,r,6,,,金屬元素,ʂ,ʅ
7469,鉺,铒,,er,3,,,金屬元素,,ɚ
7470,鉺,铒,,er,6,鉤子,,,,ɚ
7471,鋈,鋈,,oh,7,,,,,ɔʔ
7472,錆,锖,q,ian,1,,,,tɕʰ,iaŋ
7473,錣,錣,zh,uei,5,,,,tʂ,uəi
7474,鍆,钔,m,en,2,,,金屬元素,m,əŋ
7475,錤,錤,j,i,1,,,,tɕ,i
7476,鍤,锸,ch,aeh,7,,,,tʂʰ,ɛʔ
7477,鎲,镋,t,an,3,,,,tʰ,aŋ
7478,鏑,镝,d,ieh,7,,,金屬元素,t,iəʔ
7479,鏇,旋,x,iun,6,,,,ɕ,iʊ̃
7480,鐨,镄,f,ei,5,,,金屬元素,f,əi
7481,閫,阃,k,uen,3,,,,kʰ,uəŋ
7482,闍,阇,d,v,1,城門上的臺,,,t,ʋ
7483,闍,阇,sh,a,2,,梵語譯音,,ʂ,a
7484,閽,阍,h,uen,1,,,,x,uəŋ
7485,闉,闉,,ien,1,,,,,iəŋ
7486,阢,阢,v,eh,8,,,,ʋ,əʔ
7487,阬,坑,k,en,1,,,,kʰ,əŋ
7488,隰,隰,q,ieh,8,,,,tɕʰ,iəʔ
7489,霪,霪,,ien,2,,,,,iəŋ
7490,靉,叆,ng,ae,5,,,,ŋ,ɛ
7491,靸,靸,s,aeh,7,,,,s,ɛʔ
7492,鞬,鞬,j,in,1,,,,tɕ,ĩ
7493,顢,颟,m,un,2,,,,m,ʊ̃
7494,飧,飧,s,uen,1,,,,s,uəŋ
7495,餼,饩,x,i,5,,,,ɕ,i
7496,饉,馑,q,ien,6,,,,tɕʰ,iəŋ
7497,饈,馐,x,ieu,1,,,,ɕ,iəɯ
7498,饕,饕,t,o,1,,,,tʰ,ɔ
7499,駑,驽,n,v,2,,,,n,ʋ
7500,騄,騄,l,oh,8,,,,l,ɔʔ
7501,騅,骓,zh,uei,1,,,,tʂ,uəi
7502,騸,骟,sh,in,5,,,,ʂ,ĩ
7503,驁,骜,ng,o,6,,,,ŋ,ɔ
7504,驁,骜,ng,o,2,,又音,,ŋ,ɔ
7505,骰,骰,t,eu,2,,,,tʰ,əɯ
7506,鬘,鬘,m,aen,2,,,,m,ɛ̃
7507,鯁,鲠,g,en,3,,,,k,əŋ
7508,鯖,鲭,q,ien,1,魚名,,,tɕʰ,iəŋ
7509,鯖,鲭,zh,en,1,魚肉雜燴,,,tʂ,əŋ
7510,鯷,鳀,t,i,2,,,,tʰ,i
7511,鰥,鳏,g,uaen,1,,,,k,uɛ̃
7512,鰳,鳓,l,eh,8,,,,l,əʔ
7513,鴃,鴃,j,iuh,7,,,,tɕ,iʊ?
7514,鵏,鵏,p,v,6,,,,pʰ,ʋ
7515,鶺,鹡,j,ieh,7,,,,tɕ,iəʔ
7516,鷖,鹥,,i,1,,,,,i
7517,鷥,鸶,s,z,1,,,,s,ɿ
7518,鷯,鹩,l,io,2,,,,l,iɔ
7519,黼,黼,f,v,3,,,,f,ʋ
7520,齔,龀,ch,en,5,,,,tʂʰ,əŋ
7521,齕,龁,h,eh,8,齕骨頭,,,x,əʔ
7522,齪,龊,ch,uah,7,,,,tʂʰ,uaʔ
7523,亍,亍,ch,oh,7,,,,tʂʰ,ɔʔ
7524,亹,亹,v,ei,3,勤勉,,,ʋ,əi
7525,亹,亹,m,en,2,亹源，地名,,,m,əŋ
7526,仂,仂,l,ieh,8,,,,l,iəʔ
7527,仂,仂,l,eh,8,,又音,,l,əʔ
7528,倓,倓,t,aen,2,,,,tʰ,ɛ̃
7529,儔,俦,ch,eu,2,,,,tʂʰ,əɯ
7530,儱,儱,l,on,3,,,,l,ɔŋ
7531,冇,冇,m,o,3,,,,m,ɔ
7532,刲,刲,k,uei,1,,,,kʰ,uəi
7533,劌,刿,g,uei,5,,,,k,uəi
7534,劙,劙,l,i,2,,,,l,i
7535,劭,劭,sh,o,6,,,,ʂ,ɔ
7536,匏,匏,p,o,2,,,,pʰ,ɔ
7537,匜,匜,,i,2,,,,,i
7538,卮,卮,zh,r,1,,,,tʂ,ʅ
7539,卼,卼,v,eh,8,,,,ʋ,əʔ
7540,吰,吰,h,on,2,,,,x,ɔŋ
7541,呔,呔,t,ae,5,,,,tʰ,ɛ
7542,唼,唼,sh,aeh,7,,,,ʂ,ɛʔ
7543,唪,唪,f,on,3,,,,f,ɔŋ
7544,喈,喈,g,ae,1,,,,k,ɛ
7545,嗍,嗍,sh,uah,7,,,,ʂ,uaʔ
7546,嗙,嗙,p,an,5,,,,pʰ,aŋ
7547,嗾,嗾,s,eu,3,,,,s,əɯ
7548,嚃,嚃,t,aeh,7,,,,tʰ,ɛʔ
7549,圂,圂,h,uen,6,,,,x,uəŋ
7550,圇,囵,l,en,2,,,,l,əŋ
7551,圌,圌,sh,uei,2,山名,,,ʂ,uəi
7552,圌,圌,sh,un,2,穀倉,,,ʂ,ʊ̃
7553,圞,圞,l,un,2,,,,l,ʊ̃
7554,坁,坁,zh,r,3,,,,tʂ,ʅ
7555,坼,坼,ch,eh,7,,,,tʂʰ,əʔ
7556,垵,垵,,un,1,,,地名用字,,ʊ̃
7557,埕,埕,ch,en,2,,,,tʂʰ,əŋ
7558,堍,堍,t,v,5,,,,tʰ,ʋ
7559,堽,堽,g,an,1,,,,k,aŋ
7560,壈,壈,l,un,3,,,,l,ʊ̃
7561,夬,夬,g,uae,5,,,,k,uɛ
7562,奰,奰,p,i,6,,,,pʰ,i
7563,妘,妘,,yen,2,,,,,yəŋ
7564,姁,姁,x,y,3,,,,ɕ,y
7565,姮,姮,h,en,2,,,,x,əŋ
7566,娀,娀,s,on,1,,,,s,ɔŋ
7567,娭,娭,x,i,1,,,,ɕ,i
7568,婘,婘,q,iun,2,,,,tɕʰ,iʊ̃
7569,媟,媟,x,ih,7,,,,ɕ,iʔ
7570,媼,媪,ng,o,3,,,,ŋ,ɔ
7571,嫗,妪,,y,5,,,,,y
7572,嫫,嫫,m,u,2,,,,m,ʊ
7573,嬔,嬔,f,v,5,兔崽,,,f,ʋ
7574,嬔,嬔,f,aen,5,繁殖,,,f,ɛ̃
7575,嬙,嫱,q,ian,2,,,,tɕʰ,iaŋ
7576,孖,孖,z,z,1,,,,ts,ɿ
7577,宭,宭,q,yen,2,,,,tɕʰ,yəŋ
7578,寤,寤,v,v,6,,,,ʋ,ʋ
7579,尥,尥,l,io,6,,,,l,iɔ
7580,岈,岈,h,a,1,山深,,,x,a
7581,岈,岈,ng,a,2,嵖岈山,,,ŋ,a
7582,岣,岣,g,eu,3,,,,k,əɯ
7583,岢,岢,k,u,3,,,,kʰ,ʊ
7584,峇,峇,k,uh,7,山洞,,,kʰ,ʊʔ
7585,峇,峇,b,a,1,峇厘島,,,p,a
7586,崁,崁,k,un,5,,,,kʰ,ʊ̃
7587,崒,崒,q,yeh,8,,,,tɕʰ,yəʔ
7588,崟,崟,,ien,2,,,,,iəŋ
7589,嵲,嵲,n,ih,8,,,,n,iʔ
7590,嶍,嶍,q,ieh,8,,,,tɕʰ,iəʔ
7591,嶒,嶒,c,en,2,,,,tsʰ,əŋ
7592,嶨,峃,h,ah,8,,,,x,aʔ
7593,嶴,岙,ng,o,5,,,,ŋ,ɔ
7594,巉,巉,ch,aen,2,,,,tʂʰ,ɛ̃
7595,巘,巘,,in,3,,,,,ĩ
7596,巿,巿,f,eh,7,,,,f,əʔ
7597,帡,帡,p,ien,2,,,,pʰ,iəŋ
7598,幧,幧,q,io,1,,,,tɕʰ,iɔ
7599,幪,幪,m,on,2,,,,m,ɔŋ
7600,庳,庳,b,ei,1,,,,p,əi
7601,廨,廨,g,ae,5,,,,k,ɛ
7602,弇,弇,,in,3,,,,,ĩ
7603,弮,弮,q,iun,1,,,,tɕʰ,iʊ̃
7604,弸,弸,p,on,2,,,,pʰ,ɔŋ
7605,彧,彧,,ioh,7,,,,,iɔʔ
7606,彳,彳,ch,eh,7,,,,tʂʰ,əʔ
7607,徛,徛,q,i,6,,,,tɕʰ,i
7608,徛,徛,j,i,5,,又音,,tɕ,i
7609,忮,忮,zh,r,5,,,,tʂ,ʅ
7610,怫,怫,f,eh,8,,,,f,əʔ
7611,恓,恓,q,i,1,,,,tɕʰ,i
7612,惝,惝,t,an,3,,,,tʰ,aŋ
7613,惝,惝,ch,an,3,,又音,,tʂʰ,aŋ
7614,惛,惛,h,uen,1,,,,x,uəŋ
7615,愐,愐,m,in,3,,,,m,ĩ
7616,愍,愍,m,ien,3,,,,m,iəŋ
7617,愨,悫,k,ah,7,,,,kʰ,aʔ
7618,慓,慓,p,io,5,,,,pʰ,iɔ
7619,慝,慝,t,eh,7,,,,tʰ,əʔ
7620,憯,憯,c,un,3,,,,tsʰ,ʊ̃
7621,懃,懃,q,ien,2,,,,tɕʰ,iəŋ
7622,戌,戌,x,yeh,7,,,,ɕ,yəʔ
7623,扃,扃,j,ion,1,,,,tɕ,iɔŋ
7624,扤,扤,v,eh,8,,,,ʋ,əʔ
7625,抔,抔,p,eu,2,,,,pʰ,əɯ
7626,捌,捌,b,aeh,7,,,,p,ɛʔ
7627,挩,挩,t,uh,7,,,捶打,tʰ,ʊʔ
7628,挩,挩,sh,uei,5,,,擦拭,ʂ,uəi
7629,捩,捩,l,i,6,,,琵琶撥法,l,i
7630,捩,捩,l,ih,8,,,扭斷,l,iʔ
7631,掞,掞,sh,in,5,,,,ʂ,ĩ
7632,揎,揎,x,iun,1,,,,ɕ,iʊ̃
7633,撝,撝,h,uei,1,,,,x,uəi
7634,揠,揠,ng,aeh,7,,,,ŋ,ɛʔ
7635,揲,揲,t,ih,8,折疊,,,tʰ,iʔ
7636,揲,揲,sh,ih,8,積累,,,ʂ,iʔ
7637,揲,揲,,ih,8,將物體捶薄,,,,iʔ
7638,搋,搋,ch,uae,1,,,,tʂʰ,uɛ
7639,摋,摋,s,aeh,7,,,,s,ɛʔ
7640,擿,擿,t,ieh,7,剔除,,,tʰ,iəʔ
7641,擿,擿,ch,eh,8,搔，撓,,,tʂʰ,əʔ
7642,敉,敉,m,i,3,,,,m,i
7643,斲,斲,zh,uah,7,,,,tʂ,uaʔ
7644,旂,旗,q,i,2,,,,tɕʰ,i
7645,旯,旯,l,ah,8,,,,l,aʔ
7646,昀,昀,,yen,2,,,,,yəŋ
7647,昝,昝,z,un,3,,,,ts,ʊ̃
7648,晡,晡,b,v,1,,,,p,ʋ
7649,晬,晬,z,uei,5,,,,ts,uəi
7650,暍,暍,,ih,7,,,,,iʔ
7651,暍,暍,h,uh,7,,又音,,x,ʊʔ
7652,暐,暐,v,ei,3,,,,ʋ,əi
7653,曈,曈,t,on,2,,,,tʰ,ɔŋ
7654,暾,暾,t,en,1,,,,tʰ,əŋ
7655,朘,朘,j,iun,1,剝削,,,tɕ,iʊ̃
7656,朘,朘,z,uei,1,男孩的生殖器,,,ts,uəi
7657,朳,朳,b,aeh,7,,,,p,ɛʔ
7658,枓,枓,d,eu,3,斗拱,,,t,əɯ
7659,枓,枓,zh,v,3,勺子,,,tʂ,ʋ
7660,杪,杪,m,io,3,,,,m,iɔ
7661,柒,柒,q,ieh,7,,,,tɕʰ,iəʔ
7662,柁,柁,t,u,6,,,,tʰ,ʊ
7663,枲,枲,x,i,3,,,,ɕ,i
7664,栟,栟,b,en,1,栟茶，如東地名,,,p,əŋ
7665,栟,栟,b,ien,1,棕櫚,,,p,iəŋ
7666,栳,栳,l,o,3,,,,l,ɔ
7667,栝,栝,g,uaeh,7,,,,k,uɛʔ
7668,桹,桹,l,an,2,,,,l,aŋ
7669,棶,梾,l,ae,2,,,,l,ɛ
7670,椋,椋,l,ian,2,,,,l,iaŋ
7671,椸,椸,,i,2,,,,,i
7672,棰,棰,ch,uei,2,,,,tʂʰ,uəi
7673,槨,椁,g,uah,7,,,,k,uaʔ
7674,槿,槿,j,ien,3,,,,tɕ,iəŋ
7675,樘,樘,ch,en,1,支柱,,,tʂʰ,əŋ
7676,樘,樘,t,an,2,門樘,,,tʰ,aŋ
7677,櫫,橥,zh,v,1,,,,tʂ,ʋ
7678,欑,攒,c,un,2,,,,tsʰ,ʊ̃
7679,欬,欬,k,ae,5,,,,kʰ,ɛ
7680,欸,欸,ng,ae,3,欸乃,,,ŋ,ɛ
7681,欿,欿,k,un,3,,,,kʰ,ʊ̃
7682,歈,歈,,y,2,,,,,y
7683,殛,殛,j,ieh,7,,,,tɕ,iəʔ
7684,殠,殠,ch,eu,5,,,,tʂʰ,əɯ
7685,毹,毹,sh,v,1,,,,ʂ,ʋ
7686,氌,氇,l,v,3,,,,l,ʋ
7687,氳,氲,,yen,1,,,,,yəŋ
7688,氿,氿,g,uei,3,氿泉,,,k,uəi
7689,氿,氿,j,ieu,3,氿河,,,tɕ,iəɯ
7690,沬,沬,m,ei,6,,,,m,əi
7691,淏,淏,h,o,6,,,,x,ɔ
7692,湣,愍,m,ien,3,,,,m,iəŋ
7693,湲,湲,,iun,2,,,,,iʊ̃
7694,滈,滈,h,o,6,河流名,,,x,ɔ
7695,滈,滈,h,ah,7,水翻騰上湧,,,x,aʔ
7696,溠,溠,zh,a,5,,,,tʂ,a
7697,溷,溷,h,uen,6,,,,x,uəŋ
7698,溳,涢,,yen,2,,,,,yəŋ
7699,漊,溇,l,eu,2,,,,l,əɯ
7700,濆,濆,f,en,2,水邊,,,f,əŋ
7701,濆,濆,p,en,1,湧起,,,pʰ,əŋ
7702,潿,涠,v,ei,2,,,,ʋ,əi
7703,澹,澹,t,aen,6,,,安靜,tʰ,ɛ̃
7704,澹,澹,t,aen,2,,,姓氏,tʰ,ɛ̃
7705,澶,澶,ch,in,2,,,,tʂʰ,ĩ
7706,澨,澨,sh,r,6,,,,ʂ,ʅ
7707,濔,沵,m,i,3,,,,m,i
7708,瀔,瀔,g,oh,7,,,,k,ɔʔ
7709,瀰,弥,m,i,2,,,,m,i
7710,灺,灺,q,ia,6,,,,tɕʰ,ia
7711,炤,照,zh,o,5,,,,tʂ,ɔ
7712,炟,炟,d,aeh,7,,,,t,ɛʔ
7713,焐,焐,v,v,5,,,,ʋ,ʋ
7714,焮,焮,x,ien,5,,,,ɕ,iəŋ
7715,熗,炝,q,ian,5,,,,tɕʰ,iaŋ
7716,熯,熯,h,un,5,,,,x,ʊ̃
7717,燂,燂,t,un,2,,,,tʰ,ʊ̃
7718,燂,燂,q,ien,2,,又音,,tɕʰ,iəŋ
7719,爊,爊,ng,o,1,,,,ŋ,ɔ
7720,爝,爝,j,iah,7,,,,tɕ,iaʔ
7721,爝,爝,q,iah,8,,又音,,tɕʰ,iaʔ
7722,牮,牮,j,in,5,,,,tɕ,ĩ
7723,犨,犨,ch,eu,1,,,,tʂʰ,əɯ
7724,犴,犴,,un,6,,,一種野狗,,ʊ̃
7725,犴,犴,h,un,1,,,駝鹿,x,ʊ̃
7726,狁,狁,,yen,3,,,,,yəŋ
7727,狖,狖,,ieu,6,,,,,iəɯ
7728,狾,狾,zh,r,5,,,,tʂ,ʅ
7729,狳,狳,,y,2,,,,,y
7730,猊,猊,n,i,2,,,,n,i
7731,猰,猰,ng,aeh,7,一種猛獸,,,ŋ,ɛʔ
7732,猰,猰,q,ih,7,不仁，不順,,,tɕʰ,iʔ
7733,猰,猰,g,aeh,7,一種狗,,,k,ɛʔ
7734,猢,猢,h,v,2,,,,x,ʋ
7735,猱,猱,n,o,2,,,,n,ɔ
7736,猺,猺,,io,2,,,,,iɔ
7737,獫,猃,x,in,3,,,,ɕ,ĩ
7738,獯,獯,x,yen,1,,,,ɕ,yəŋ
7739,玥,玥,,iuh,8,,,,,iʊ?
7740,玤,玤,p,an,6,,,,pʰ,aŋ
7741,珥,珥,,er,6,,,,,ɚ
7742,珥,珥,,er,3,,異讀,,,ɚ
7743,琫,琫,b,on,3,,,,p,ɔŋ
7744,瑁,瑁,m,ei,6,玳瑁,,,m,əi
7745,瑁,瑁,m,o,6,古代天子接見諸侯所執的玉,,,m,ɔ
7746,琿,珲,h,uen,2,美玉,,,x,uəŋ
7747,琿,珲,h,uei,1,地名,,,x,uəi
7748,瑊,瑊,zh,en,1,,,,tʂ,əŋ
7749,瑊,瑊,j,in,1,,又音,,tɕ,ĩ
7750,瑢,瑢,,ion,2,,,,,iɔŋ
7751,瑱,瑱,t,in,3,美玉,,,tʰ,ĩ
7752,瑱,瑱,t,in,5,,tin3的又音,,tʰ,ĩ
7753,瑱,瑱,zh,en,5,鎮壓坐席的玉器,,,tʂ,əŋ
7754,瓔,璎,,ien,1,,,,,iəŋ
7755,瓛,瓛,,un,2,,,,,ʊ̃
7756,瓴,瓴,l,ien,2,,,,l,iəŋ
7757,甍,甍,m,on,2,,,,m,ɔŋ
7758,疐,疐,zh,r,5,,,,tʂ,ʅ
7759,疔,疔,d,ien,1,,,,t,iəŋ
7760,疥,疥,g,ae,5,,,,k,ɛ
7761,疳,疳,g,un,1,,,,k,ʊ̃
7762,痎,痎,g,ae,1,,,,k,ɛ
7763,痿,痿,v,ei,3,,,,ʋ,əi
7764,瘏,瘏,t,v,2,,,,tʰ,ʋ
7765,瘃,瘃,zh,oh,7,,,,tʂ,ɔʔ
7766,瘥,瘥,ch,ae,5,病愈,,,tʂʰ,ɛ
7767,瘥,瘥,c,u,2,病,,,tsʰ,ʊ
7768,瘼,瘼,m,ah,8,,,,m,aʔ
7769,瘵,瘵,zh,ae,5,,,,tʂ,ɛ
7770,瘲,瘲,z,on,5,,,,ts,ɔŋ
7771,癜,癜,d,in,5,,,,t,ĩ
7772,皕,皕,b,ieh,7,,,,p,iəʔ
7773,皤,皤,p,u,2,,,,pʰ,ʊ
7774,盉,盉,h,u,2,,,,x,ʊ
7775,眊,眊,m,o,6,,,,m,ɔ
7776,眙,眙,,i,2,盱眙,,,,i
7777,眙,眙,ch,r,5,瞪,,,tʂʰ,ʅ
7778,睆,睆,,un,3,,,,,ʊ̃
7779,睅,睅,h,un,6,,,,x,ʊ̃
7780,睊,睊,j,iun,5,,,,tɕ,iʊ̃
7781,瞍,瞍,s,eu,3,,,,s,əɯ
7782,瞋,瞋,ch,en,1,,,,tʂʰ,əŋ
7783,瞭,了,l,io,3,明瞭,,,l,iɔ
7784,瞭,瞭,l,io,6,瞭望,,,l,iɔ
7785,矱,矱,,iah,7,,,,,iaʔ
7786,矼,矼,g,an,1,石橋,,,k,aŋ
7787,矼,矼,k,an,1,堅實,,,kʰ,aŋ
7788,硨,砗,ch,a,1,,,,tʂʰ,a
7789,磽,硗,k,o,1,,,,kʰ,ɔ
7790,磲,磲,q,y,2,,,,tɕʰ,y
7791,礅,礅,d,en,1,,,,t,əŋ
7792,礵,礵,sh,uan,1,,,,ʂ,uaŋ
7793,禋,禋,,ien,1,,,,,iəŋ
7794,禤,禤,x,iun,1,,,,ɕ,iʊ̃
7795,禰,祢,m,i,2,姓氏,,,m,i
7796,禰,祢,n,i,3,考廟,,,n,i
7797,禳,禳,r,an,2,,,,ɻ,aŋ
7798,穇,穇,sh,aen,1,,,,ʂ,ɛ̃
7799,窊,窊,v,a,1,,,,ʋ,a
7800,窣,窣,s,ueh,7,,,,s,uə?
7801,窬,窬,,y,2,,,,,y
7802,笏,笏,h,ueh,7,,,,x,uə?
7803,筅,筅,x,in,3,,,,ɕ,ĩ
7804,筮,筮,sh,r,6,,,,ʂ,ʅ
7805,筥,筥,j,y,3,,,,tɕ,y
7806,箠,棰,ch,uei,2,,,,tʂʰ,uəi
7807,箠,棰,zh,uei,1,,本音,,tʂ,uəi
7808,篨,篨,ch,v,2,,,,tʂʰ,ʋ
